1,Akashic Records,"orchestra,peaceful,atmospheric,soundtrack,rock,strings,happy"
2,Tryad,"ambient,electronic,triphop,pop,piano,strings"
3,The.madpix.project,"soundtrack,newage,piano,strings"
4,Mattia Vlad Morleo,"classical,ambient,soundtrack,newage,pop,piano,strings,cinematic,film"
5,Matti Paalanen,"classical,celtic,soundtrack,world"
6,Non Camera,"pop,rock,piano,strings,poprock,peaceful,sad,ballad"
7,The Quiet Revolution,"pop,singersongwriter,piano,strings,britainsgottalent,nickcelino,ballad,folk"
8,Amity in Fame,"metal,rock,strings,guitar,drum"
9,Antarhes,"rock,metal,electricguitar,strings,drum,guitar"
10,NanowaR,"rock,metal,electricguitar,strings,drum,guitar,percussion"
11,Oleg Serkov,"metal,rock,pop,electricguitar,guitar,strings,drum,energetic"
12,Nocreeps,"rock,metal,electricguitar,strings,drum,guitar,percussion"
13,Non Camera,"pop,rock,piano,strings,poprock,peaceful,sad,ballad"
14,JT Bruce,"progressiverock,metal,rock,strings,electricguitar,drum,guitar"
15,PeerGynt Lobogris,"ambient,electronic,newage,metal,rock"
16,David TMX,"metal,rock,strings,guitar,drum"
17,Antony Raijekov,"ambient,electronic,jazz,lounge,chillout,soft"
18,Triplexity,"jazz,world,electronic,peaceful,downtempo"
19,David Schombert,"ambient,electronic,peaceful,newage"
20,Alexander Blu,"peaceful,ambient,electronic,newage,lounge,downtempo,chillout"
